"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Aveda Institute-New Mexico","1816 Central Ave SW, Albuquerque, New Mexico 87104-1160","www.avedanm.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","122","122","NA","NA","2013-14","$15,999","Cosmetology/Cosmetologist, General","461555","04174500"
"Brookline College-Albuquerque","4201 Central Ave NW-Ste J, Albuquerque, New Mexico 87105","www.brooklinecollege.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","City: Large","No","375","375","62%","NA","Fall 2010","$19,287","Medical/Clinical Assistant","444088","02218808"
"Brown Mackie College-Albuquerque","10500 Cooper Ave NE, Albuquerque, New Mexico 87123","www.brownmackie.edu/","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","267","267","33%","NA","Fall 2010","NA","-","460039","04051330"
"Burrell College of Osteopathic Medicine","3501 Arrowhead Drive, Las Cruces, New Mexico 88001","https://bcomnm.org/","4-year, Private for-profit","Doctor's degree - professional practice","Suburb: Midsize","No","161","","NA","NA","Fall 2010","NA","-","488554",""
"Carrington College-Albuquerque","1001 Menaul Blvd. N.E., Albuquerque, New Mexico 87107-1642","www.carrington.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","434","434","73%","3%","Fall 2013","$21,051","Medical/Clinical Assistant","442602","02100612"
"Central New Mexico Community College","525 Buena Vista SE, Albuquerque, New Mexico 87106","www.cnm.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Large","No","24781","24781","16%","4%","Fall 2013","$4,118","-","187532","00474200"
"Clovis Community College","417 Schepps Blvd, Clovis, New Mexico 88101-8381","www.clovis.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","No","3317","3317","35%","9%","Fall 2013","$7,466","-","187639","00474300"
"Computer Career Center-Las Cruces","850 N Telshor Blvd, Suite K, Las Cruces, New Mexico 88011","vistacollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","","","NA","NA","Fall 2013","NA","-","36520403","02572003"
"De Wolff College Hair Styling and Cosmetology","1500 Eubank N E, Albuquerque, New Mexico 87112-4413","www.dewolffinstitute.net","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","44","44","24%","NA","2013-14","$7,166","Cosmetology/Cosmetologist, General","187602","01063200"
"Eastern New Mexico University-Main Campus","ENMU Station 2, 1500 S Ave K, Portales, New Mexico 88130","www.enmu.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","6010","4591","35%","NA","Fall 2010","$10,481","-","187648","00265100"
