"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Acaydia School of Aesthetics","86 North University Avenue, Suite 130, Provo, Utah 84601-0000","www.acaydia.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","76","76","80%","10%","2013-14","$13,306","Master Aesthetician/Esthetician","461342","04165500"
"American Beauty Academy","87 W 600 S, Payson, Utah 84651","www.americanbeauty.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","18","18","60%","NA","2013-14","$8,142","Cosmetology/Cosmetologist, General","459541","04169900"
"American Beauty Academy-West Valley Campus","3695 S Redwood Rd, West Valley City, Utah 84119","americanbeautyutah.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","36","36","NA","NA","2013-14","$9,358","Cosmetology/Cosmetologist, General","489247","04169901"
"AmeriTech College-Draper","12257 South Business Park Drive-Ste 100, Draper, Utah 84020-6545","www.ameritech.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","506","506","80%","NA","Fall 2010","$19,405","-","447263","02270802"
"AmeriTech College-Provo","2035 North 550 West, Provo, Utah 84604","www.ameritech.edu","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","21","21","73%","NA","2013-14","$15,003","Medical/Clinical Assistant","229957","02270800"
"Argosy University-Salt Lake City","121 Election Rd Ste 300, Draper, Utah 84020","www.argosy.edu/locations/salt-lake-city","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","No","175","66","14%","NA","Fall 2010","$19,746","-","452090","02179935"
"Avalon School of Cosmetology-Layton","1992 W Antelope Drive, Layton, Utah 84041","avalon.edu/locations/layton-ut/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","153","153","81%","NA","2013-14","$12,694","Cosmetology/Cosmetologist, General","474924","01085802"
"Aveda Institute-Provo","210 N. University Avenue, Provo, Utah 84601","avedainstituteprovo.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","102","102","69%","3%","2013-14","$17,097","Cosmetology/Cosmetologist, General","451574","04072300"
"Bonnie Joseph Academy of Cosmetology & Barbering","164 South Main Street, Heber City, Utah 84032-2044","bonniejosephacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Distant","No","13","13","76%","7%","2013-14","$17,140","Cosmetology/Cosmetologist, General","481456","04216800"
"Bridgerland Technical College","1301 North 600 West, Logan, Utah 84321","www.btech.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","1279","1279","49%","2%","Fall 2013","$6,622","Industrial Mechanics and Maintenance Technology","230010","02115400"
"Brigham Young University-Provo","Main Campus, Provo, Utah 84602","www.byu.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","34240","30979","83%","NA","Fall 2010","$12,864","-","230038","00367000"
"Broadview Entertainment Arts University","240 E Morris Ave, Salt Lake City, Utah 84115","beau.broadviewuniversity.edu/","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","132","132","13%","NA","Fall 2010","$19,198","-","459091","01116603"
"Broadview University-West Jordan","1902 W 7800 S, West Jordan, Utah 84088","www.broadviewuniversity.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","No","184","180","39%","NA","Fall 2010","$18,448","-","230056","01116600"
"Cameo College of Essential Beauty","124 East 5770 South, Murray, Utah 84107","www.cameocollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","153","153","67%","NA","2013-14","$14,912","Cosmetology/Cosmetologist, General","230065","03921300"
"Careers Unlimited","1176 South 1480 West, Orem, Utah 84058","www.ucdh.edu","4-year, Private for-profit","Bachelor's degree","City: Small","No","118","118","NA","NA","Fall 2010","NA","Dental Hygiene/Hygienist","448239","03463300"
"Collectiv Academy","7353 S 900 E, Midvale, Utah 84047","www.collectivacademy.com/","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","148","148","81%","NA","2013-14","$10,195","Cosmetology/Cosmetologist, General","230144","02078800"
"Columbia College - Salt Lake","5250 South Commerce Dr, Suite 300, Murray, Utah 84107-5322","www.ccis.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Suburb: Large","No","","","NA","NA","Fall 2010","NA","-","17706513","00245619"
"Davis Technical College","550 E 300 S, Kaysville, Utah 84037-2699","https://www.davistech.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","3225","3225","52%","NA","Fall 2013","$363","Nursing Assistant/Aide and Patient Care Assistant/Aide","230162","02156600"
"Dixie State University","225 S 700 E, Saint George, Utah 84770-3876","dixie.edu/","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","Yes","8993","8993","33%","27%","Fall 2010","$13,071","-","230171","00367100"
"Dixie Technical College","1506 S. Silicon Way, Saint George, Utah 84770","dxatc.edu/","< 2-year, Public","Less than one year certificate|One but less than two years certificate","City: Small","No","422","422","73%","NA","2013-14","$12,453","Medical/Clinical Assistant","451583","04121700"
"Eagle Gate College-Layton","915 N 400 W, Layton, Utah 84041","www.eaglegatecollege.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","311","311","56%","NA","Fall 2010","$18,506","-","447421","02178501"
"Eagle Gate College-Murray","5588 South Green Street, Murray, Utah 84123-6965","EAGLEGATECOLLEGE.EDU","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","424","424","58%","1%","Fall 2010","$18,368","-","230366","02178500"
