"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Alice Lloyd College","100 Purpose Rd, Pippa Passes, Kentucky 41844","www.alc.edu","4-year, Private not-for-profit","Bachelor's degree","Rural: Remote","Yes","605","605","31%","20%","Fall 2010","$14,200","-","156189","00195100"
"American College of Barbering","11320 North Preston Highway, Louisville, Kentucky 40229-2862","www.americancollegeofbarbering.com","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","24","24","NA","NA","2013-14","$11,213","Barbering/Barber","486169","04204800"
"American National University-Lexington","2376 Sir Barton Way, Lexington, Kentucky 40509","https://www.an.edu/locations/","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","681","681","57%","NA","Fall 2010","$17,973","-","157021","01048900"
"Appalachian Beauty School","609A Central Avenue, South Williamson, Kentucky 41503","appalachianbeautyschool.com/","2-year, Private for-profit","Two but less than 4 years certificate","Town: Remote","No","23","23","100%","NA","Fall 2013","$9,397","Cosmetology/Cosmetologist, General","237127","02159100"
"Asbury Theological Seminary","204 N Lexington Ave, Wilmore, Kentucky 40390-1199","www.asburyseminary.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Town: Fringe","Yes","1574","","NA","NA","Fall 2010","NA","-","156222","00195300"
"Asbury University","1 Macklem Dr, Wilmore, Kentucky 40390-1198","www.asbury.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Fringe","Yes","1854","1640","64%","NA","Fall 2010","$23,750","-","156213","00195200"
"Ashland Community and Technical College","1400 College Drive, Ashland, Kentucky 41101-3683","https://ashland.kctcs.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","2775","2775","29%","9%","Fall 2013","$6,451","-","156231","00199000"
"ATA College","10200 Linn Station Rd Ste 125, Louisville, Kentucky 40223","www.ata.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","362","362","60%","NA","Fall 2013","$21,544","-","447935","04038300"
"Barrett and Company School of Hair Design","973 Kimberly Sq South Main St. Kimberly Square, Nicholasville, Kentucky 40356-2152","https://barrett.edu/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Town: Fringe","No","64","64","63%","NA","Fall 2013","$12,787","Cosmetology/Cosmetologist, General","156277","02518900"
"Beckfield College-Florence","16 Spiral Drive, Florence, Kentucky 41042","www.beckfield.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","578","578","18%","NA","Fall 2010","$27,812","-","247065","02491100"
