"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Aaniiih Nakoda College","269 Blackfeet Avenue Agency, Harlem, Montana 59526","www.ancollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Remote","No","149","149","32%","8%","Fall 2013","$6,497","-","180203","02517500"
"Academy of Cosmetology","133 W Mendenhall, Bozeman, Montana 59715-3544","www.academycosmetology.com","2-year, Private for-profit","Two but less than 4 years certificate","Town: Remote","No","35","35","67%","NA","Fall 2013","$7,943","Cosmetology/Cosmetologist, General","179991","02621300"
"Bitterroot School of Cosmetology","2079 N First St Ste B, Hamilton, Montana 59840","bitterrootschoolofcosmetology.com","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","Town: Remote","No","22","22","82%","NA","Fall 2013","$6,005","Cosmetology/Cosmetologist, General","457721","04163700"
"Blackfeet Community College","504 S. East Boundary, Browning, Montana 59417-0819","bfcc.edu","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","Rural: Fringe","No","425","425","25%","NA","Fall 2013","$6,830","-","180054","02510600"
"Bold Beauty Academy","928 Broadwater Ave, Suite C, Billings, Montana 59101","boldbeautyacademy.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","125","125","73%","NA","Fall 2013","$7,694","Cosmetology/Cosmetologist, General","444316","03763400"
"Butte Academy of Beauty Culture","303 W Park St, Butte, Montana 59701","butteacademyofbeauty.ipage.com/","2-year, Private for-profit","Two but less than 4 years certificate","Town: Remote","No","44","44","59%","7%","Fall 2013","$9,484","Cosmetology/Cosmetologist, General","180063","00790000"
"Carroll College","1601 N Benton Ave, Helena, Montana 59625-0002","www.carroll.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Town: Remote","Yes","1380","1380","66%","NA","Fall 2010","$25,449","-","180106","00252600"
"Chief Dull Knife College","1 College Drive, Lame Deer, Montana 59043","cdkc.edu","2-year, Public","One but less than two years certificate|Associate's degree","Rural: Remote","No","168","168","31%","8%","Fall 2013","$6,189","-","180160","02545200"
"City College Montana State University Billings","3803 Central Ave, Billings, Montana 59102-9856","www.msubillings.edu/citycollege/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Midsize","No","","","NA","NA","Fall 2013","NA","-","18017901","00253001"
"Crevier's Academy of Cosmetology Arts","240 West Idaho, Kalispell, Montana 59901","www.crevierschool.com","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","Town: Remote","No","71","71","80%","NA","Fall 2013","$6,097","Cosmetology/Cosmetologist, General","180090","04187700"
"Dawson Community College","300 College Dr, Glendive, Montana 59330","www.dawson.edu","2-year, Public","One but less than two years certificate|Associate's degree","Town: Remote","Yes","297","297","37%","34%","Fall 2013","$8,657","-","180151","00252900"
"Flathead Valley Community College","777 Grandview Dr, Kalispell, Montana 59901","www.fvcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","2266","2266","28%","18%","Fall 2013","$8,298","-","180197","00677700"
"Fort Peck Community College","605 Indian Street, Poplar, Montana 59255-0398","www.fpcc.edu","2-year, Public","One but less than two years certificate|Associate's degree","Town: Remote","Yes","385","385","7%","2%","Fall 2013","$6,461","-","180212","02343000"
