"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Adult and Continuing Education-BCTS","200A Hackensack Avenue, Hackensack, New Jersey 07601-6637","bcts.bergen.org/index.php/adult-ed-main-page","< 2-year, Public","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","60","60","76%","NA","2013-14","$10,862","Electrician","183983","02312000"
"Altierus Career Education-South Plainfield","5000 Hadley Road, South Plainfield, New Jersey 07080-1125","https://www.altierus.org/campus/south-plainfield","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","276","276","61%","NA","2013-14","$20,015","Medical/Clinical Assistant","449269","00982804"
"American Institute","1117 Main Avenue, Clifton, New Jersey 07011-2379","www.americaninstitute.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","","","NA","NA","Fall 2013","NA","Massage Therapy/Therapeutic Massage","18409201","02106603"
"American Institute of Alternative Medicine","223 Rt. 18, Suite 205, East Brunswick, New Jersey 08816","massageschoolnewjersey.com","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","32","32","NA","NA","2013-14","NA","-","487852","04234400"
"American Institute of Medical Sciences & Education","4500 New Brunswick Ave, Piscataway, New Jersey 08854","www.aimseducation.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","407","407","78%","NA","Fall 2013","NA","Diagnostic Medical Sonography/Sonographer and Ultrasound Technician","455202","04136400"
"American Institute-Clifton","346 LEXINGTON AVE, CLIFTON, New Jersey 07011","www.americaninstitute.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","720","720","52%","NA","Fall 2013","$12,796","Medical/Clinical Assistant","184092","02106601"
"American Institute-Toms River","2363 Lakewood Rd, Toms River, New Jersey 08755","www.americaninstitute.com/","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","359","359","51%","NA","Fall 2013","$12,703","Medical/Clinical Assistant","482963","02106605"
"Artistic Academy of Hair Design","301 Gibraltar Drive, Suite 1-A, Morris Plains, New Jersey 07950","www.artisticacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","121","121","82%","NA","2013-14","$15,256","Cosmetology/Cosmetologist, General","414063","02525900"
"ASI Career Institute","5360 Black Horse Pike, Turnersville, New Jersey 08012-1043","ASI.edu","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","69","69","99%","NA","2013-14","$10,317","Medical/Clinical Assistant","475431","04188700"
"Assumption College for Sisters","200 A Morris Avenue, Denville, New Jersey 07834","www.acs350.org","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","Yes","38","38","89%","11%","Fall 2013","NA","-","183600",""
"Atlantic Beauty & Spa Academy LLC","3003 English Creek Avenue, Egg Harbor Township, New Jersey 08234","www.shorebeautyschool.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Midsize","No","139","139","58%","NA","2013-14","$16,130","Cosmetology/Cosmetologist, General","186593","02234600"
