"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"	Educational Technical College-Recinto de Bayamon","1685 CARR #2 KL 11.2, Bayamon, Puerto Rico 00959","www.edutecpr.com","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","293","293","59%","NA","Fall 2013","$11,176","Emergency Medical Technology/Technician (EMT Paramedic)","240985","02570400"
"Academia Serrant Inc","Concordia 8180 Esq Aurora, Ponce, Puerto Rico 00717-1568","www.serrant.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","409","409","80%","NA","2013-14","$5,457","Baking and Pastry Arts/Baker/Pastry Chef","421896","03122500"
"American Educational College","45 Santa Cruz Street, Bayamon, Puerto Rico 00961","www.amedcopr.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","1166","1166","39%","NA","2013-14","$6,498","-","241146","02303800"
"American Technical Institute","Ave Castiglioni U-27, Bayamon Gardens, Bayamon, Puerto Rico 00957-0000","www.amtec.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","11","11","58%","NA","2013-14","$3,743","Motorcycle Maintenance and Repair Technology/Technician","461625","04176000"
"American University of Puerto Rico","Carretera Estatal #2 Km.48.1, Manati, Puerto Rico 00674-1082","aupr.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","804","757","23%","NA","Fall 2010","$10,959","-","241128","01194101"
"American University of Puerto Rico","Carr. #2, Km.14.4, Bo. Hato Tejas, Bayamon, Puerto Rico 00960-2037","aupr.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","No","626","589","21%","NA","Fall 2010","$10,852","-","241100","01194100"
"Antilles School of Technical Careers","Calle Cayey # 1911, San Juan, Puerto Rico 00909","antillespr.edu/","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","544","544","61%","NA","Fall 2013","$4,590","Surgical Technology/Technologist","241182","02234900"
"Atenas College","Paseo de La Atenas  #101, Manati, Puerto Rico 00674-0000","www.atenascollege.edu","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","1005","1005","55%","3%","Fall 2010","$6,404","-","440651","03544300"
"Atlantic University College","Colton St. # 9, Guaynabo, Puerto Rico 00970","www.atlanticu.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Small","No","1556","1478","34%","NA","Fall 2010","$4,588","-","241216","02505400"
"Automeca Technical College-Aguadilla","Parque Industrial La Montana Km09 Edif932, Aguadilla, Puerto Rico 00605","www.automeca.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","189","189","62%","NA","2013-14","$6,148","-","418782","02297702"
"Automeca Technical College-Bayamon","Carr.No.2 Km14.0 Hato Tejas, Bayamon, Puerto Rico 00961","www.automeca.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","554","554","75%","NA","2013-14","$5,924","-","419703","02297700"
"Automeca Technical College-Caguas","Calle Munoz Rivera No.69, Caguas, Puerto Rico 00725","www.automeca.com","< 2-year, Private for-profit","One but less than two years certificate","City: Small","No","189","189","78%","NA","2013-14","$5,820","-","419712","02297701"
"Automeca Technical College-Ponce","Calle Villa No.452, Ponce, Puerto Rico 00731","www.automeca.com","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","245","245","70%","NA","2013-14","$6,400","-","419721","02297705"
"Bayamon Community College","17 Maceo St, Bayamon, Puerto Rico 00959","www.bccpr.org","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","255","255","79%","NA","2013-14","$4,221","-","444194","03758300"
"Cambridge Technical Institute","Ave. Ponce de Leon #1058, San Juan, Puerto Rico 00918","www.cti.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","243","243","39%","NA","2013-14","$7,268","Cosmetology/Cosmetologist, General","444264","03785300"
"Caribbean Aviation Training Institute Inc","Ave. José A. Santana, Ed. CAF1, Base Muñiz, Suite 203, Carolina, Puerto Rico 00979","www.caribav.com/","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","228","228","98%","NA","2013-14","NA","-","489256",""
"Caribbean Forensic and Technical College","Paseo de Diego St #5 2nd & 3rd Floor, Rio Piedras, Puerto Rico 00925-2901","www.cftcpr.com","< 2-year, Private for-profit","One but less than two years certificate","City: Large","No","133","133","75%","NA","2013-14","$5,472","-","441706","03608300"
"Caribbean University-Bayamon","167 Ave.  Km 21.2, Bayamon, Puerto Rico 00960-0493","www.caribbean.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","1663","1387","22%","4%","Fall 2010","$3,052","-","241377","01252500"
"Caribbean University-Carolina","Calle Ignacio Arzuaga #208, Carolina, Puerto Rico 00985","www.caribbean.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","No","438","391","14%","2%","Fall 2010","$3,650","-","241386","01252503"
"Caribbean University-Ponce","AVE. EDNITA NAZARIO #1015, Ponce, Puerto Rico 00716-7733","www.caribbean.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","No","1062","795","27%","8%","Fall 2010","$3,506","-","363907","01252502"
"Caribbean University-Vega Baja","Carr 671 K.M. 5, Sector El Criollo, Bo. Algarrobo, Vega Baja, Puerto Rico 00964","www.caribbean.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","No","384","347","14%","NA","Fall 2010","$3,888","-","363916","01252501"
"Carlos Albizu University-San Juan","151 Tanca St, Corner San Francisco St, Old San Juan, San Juan, Puerto Rico 00902-3711","www.albizu.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Large","No","1400","275","NA","NA","Fall 2010","$8,766","-","241331","01072400"
