"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Adler University","17 North Dearborn Street, Chicago, Illinois 60602","www.adler.edu","4-year, Private not-for-profit","Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Large","No","1099","","NA","NA","Fall 2010","NA","-","142832","02068100"
"Alvareitas College of Cosmetology-Edwardsville","333 South Kansas St, Edwardsville, Illinois 62025","www.alvareita.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","5","5","79%","NA","2013-14","NA","Hair Styling/Stylist and Hair Design","142869",""
"Alvareitas College of Cosmetology-Godfrey","3048 Godfrey Rd, Godfrey, Illinois 62035-4150","www.alvareita.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Small","No","5","5","65%","4%","2013-14","$8,625","Hair Styling/Stylist and Hair Design","142878",""
"Ambria College of Nursing","5210 Trillium Blvd, Hoffman Estates, Illinois 60192","ambria.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Small","No","366","366","78%","11%","Fall 2010","NA","Registered Nursing/Registered Nurse","457527","04124700"
"American Academy of Art","332 S Michigan Ave, Chicago, Illinois 60604-4302","www.aaart.edu","4-year, Private not-for-profit","Bachelor's degree","City: Large","No","297","297","44%","29%","Fall 2010","$28,660","-","142887","00162800"
"American InterContinental University","231 N. Martingale Rd., 6th Floor, Schaumburg, Illinois 60173","www.aiuniv.edu","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Small","No","10091","9048","26%","NA","Fall 2010","$12,931","-","445027","02113600"
"American Islamic College","640 W Irving Park RD, Chicago, Illinois 60613","www.aicusa.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","35","22","NA","NA","Fall 2010","$11,450","-","142957",""
"Argosy University-Chicago","225 N. Michigan Ave, Ste 1300, Chicago, Illinois 60601","www.argosy.edu/chicago","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","624","178","5%","NA","Fall 2010","$17,273","-","145770","02179936"
"Argosy University-Schaumburg","999 North Plaza Dr., Suite 111, Schaumburg, Illinois 60173-5403","www.argosy.edu/schaumburg","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","No","222","49","17%","NA","Fall 2010","NA","-","420866","02179921"
"Augustana College","639 38th St, Rock Island, Illinois 61201-2296","www.augustana.edu","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","2537","2537","77%","NA","Fall 2010","$23,542","-","143084","00163300"
