"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy College","1600 W. 82nd Street, Suite 100, Bloomington, Minnesota 55431-1411","www.academycollege.edu","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree","City: Small","No","116","116","0%","NA","Fall 2010","$22,745","-","172866","02050300"
"Adler Graduate School","1550 East 78th Street, Richfield, Minnesota 55423","www.alfredadler.edu","4-year, Private not-for-profit","Master's degree|Post-master's certificate","Suburb: Large","No","298","","NA","NA","Fall 2010","NA","-","374024","03051900"
"Alexandria Technical & Community College","1601 Jefferson Streeet, Alexandria, Minnesota 56308","www.alextech.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Town: Remote","No","2689","2689","61%","14%","Fall 2013","$13,235","-","172918","00554400"
"American Academy of Acupuncture and Oriental Medicine","1925 W County Rd B-2, Roseville, Minnesota 55113","www.aaaom.edu","4-year, Private for-profit","Master's degree|Doctor's degree - professional practice","Suburb: Large","No","88","","NA","NA","Fall 2010","NA","-","446002","03833300"
"American Indian OIC Inc","1845 E. Franklin Ave, Minneapolis, Minnesota 55404-2221","www.aioic.org","< 2-year, Private not-for-profit","Less than one year certificate","City: Large","No","48","48","52%","NA","2013-14","$9,132","Computer Support Specialist","172927","02514100"
"Anoka Technical College","1355 Highway 10 West, Anoka, Minnesota 55303","www.anokatech.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","1922","1922","30%","11%","Fall 2013","$12,637","-","172954","00735000"
"Anoka-Ramsey Community College","11200 Mississippi Blvd NW, Coon Rapids, Minnesota 55433-3470","www.anokaramsey.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","9058","9058","15%","39%","Fall 2013","$10,919","-","172963","00233200"
"Anoka-Ramsey Community College-Cambridge Campus","300 Spirit River Drive South, Cambridge, Minnesota 55008-5704","www.anokaramsey.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Fringe","No","","","NA","NA","Fall 2013","NA","-","17296301","00233201"
"Argosy University-Twin Cities","1515 Central Parkway, Eagan, Minnesota 55121","www.argosy.edu/twincities/","4-year, primarily associate's, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","No","1324","1017","21%","NA","Fall 2010","$15,732","-","173984","02179901"
"Augsburg University","2211 Riverside Ave, Minneapolis, Minnesota 55454","www.augsburg.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Large","Yes","3621","2531","57%","NA","Fall 2010","$24,394","-","173045","00233400"
"Avalon School of Cosmetology","1428 N McMillan St, Worthington, Minnesota 56187","avaloncosmetologyschool.com","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","Town: Remote","No","25","25","23%","NA","Fall 2013","$7,859","Cosmetology/Cosmetologist, General","457679","04160500"
"Aveda Institute-Minneapolis","400 Central Ave SE, Minneapolis, Minnesota 55414","aveda.edu/minneapolis","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","451","451","67%","NA","2013-14","$14,184","Cosmetology/Cosmetologist, General","173744","02123200"
"Bemidji State University","1500 Birchmont Dr, Bemidji, Minnesota 56601","www.bemidjistate.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","5138","4808","46%","27%","Fall 2010","$14,334","-","173124","00233600"
"Bethany Global University","6820 Auto Club Road, Bloomington, Minnesota 55438-2849","https://www.bethanygu.edu/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Small","Yes","271","252","68%","NA","Fall 2010","$10,297","-","486284","04227800"
"Bethany Lutheran College","700 Luther Dr, Mankato, Minnesota 56001","www.blc.edu","4-year, Private not-for-profit","Bachelor's degree","City: Small","Yes","587","587","55%","33%","Fall 2010","$17,453","-","173142","00233700"
