"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"American University","4400 Massachusetts Ave NW, Washington, District of Columbia 20016-8001","WWW.AMERICAN.EDU","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","13346","7900","81%","NA","Fall 2010","$31,758","-","131159","00143400"
"Bennett Career Institute","700 Monroe Street N.E., Washington, District of Columbia 20017","www.bennettcareerinstitute.org","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","338","338","53%","NA","2013-14","$8,348","Cosmetology/Cosmetologist, General","439473","03409600"
"Career Technical Institute","1101 Vermont Avenue, N.W suite L002, Washington, District of Columbia 20005","www.careertechnical.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","479","479","61%","3%","Fall 2013","$23,108","Medical Administrative/Executive Assistant and Medical Secretary","420370","03104300"
"Catholic University of America","620 Michigan Avenue, NE, Washington, District of Columbia 20064","https://www.catholic.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","6076","3241","70%","NA","Fall 2010","$36,009","-","131283","00143700"
"Gallaudet University","800 Florida Ave, NE, Washington, District of Columbia 20002-3695","www.gallaudet.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","City: Large","Yes","1566","1121","43%","26%","Fall 2010","$13,597","-","131450","00144300"
"George Washington University","2121 I Street, NW, Washington, District of Columbia 20052","www.gwu.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","27159","11504","84%","NA","Fall 2010","$39,562","-","131469","00144400"
"Georgetown University","37th and O St NW, Washington, District of Columbia 20057-0001","www.georgetown.edu","4-year, Private not-for-profit","One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","18525","7453","94%","NA","Fall 2010","$26,625","-","131496","00144500"
"Howard University","2400 Sixth St NW, Washington, District of Columbia 20059-0001","www.howard.edu","4-year, Private not-for-profit","Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","8966","5899","61%","15%","Fall 2010","$22,712","-","131520","00144800"
"Institute of World Politics","1521 16th St NW, Washington, District of Columbia 20036","www.iwp.edu/","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Large","No","118","","NA","NA","Fall 2010","NA","-","455804","04114400"
"National Conservatory of Dramatic Arts","1556 Wisconsin Ave NW, Washington, District of Columbia 20007","www.theconservatory.org","2-year, Private not-for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","34","34","100%","NA","Fall 2013","$18,115","-","131830","02132800"
