"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Ailano School of Cosmetology","541 West St, Brockton, Massachusetts 02301-5734","www.theailanoschool.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","23","23","68%","NA","2013-14","$21,577","Cosmetology/Cosmetologist, General","419147","03066700"
"Alexander Academy","55 Massachusetts Avenue, Lunenburg, Massachusetts 01462-0000","www.alexanderacademy.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Midsize","No","74","74","NA","NA","2013-14","$18,050","Barbering/Barber","476735","04193100"
"American Academy of Personal Training-Boston Campus","561 Boylston Street, Boston, Massachusetts 02116-3631","www.aapt.edu","< 2-year, Private for-profit","Less than one year certificate","City: Large","No","42","42","93%","NA","2013-14","$5,358","Physical Fitness Technician","487144","04207601"
"American International College","1000 State Street, Springfield, Massachusetts 01109","www.aic.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","3377","1414","44%","43%","Fall 2010","$20,362","-","164447","00211400"
"Amherst College","Boltwood Avenue, Amherst, Massachusetts 01002-5000","www.amherst.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","1849","1849","93%","1%","Fall 2010","$19,055","-","164465","00211500"
"Andover Newton Theological School","210 Herrick Rd, Newton Centre, Massachusetts 02459-2243","www.ants.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree","City: Small","Yes","161","","NA","NA","Fall 2010","NA","-","164474","00211600"
"Anna Maria College","50 Sunset Lane, Paxton, Massachusetts 01612-1198","www.annamaria.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate","Rural: Fringe","Yes","1386","1060","39%","NA","Fall 2010","$28,050","-","164492","00211700"
"Assabet Valley Regional Technical School","215 Fitchburg St, Marlborough, Massachusetts 01752","www.assabet.org","< 2-year, Public","One but less than two years certificate","Suburb: Large","No","50","50","64%","NA","2013-14","$15,076","Licensed Practical/Vocational Nurse Training","164535","02169900"
"Assumption College","500 Salisbury St, Worcester, Massachusetts 01609-1296","https://www.assumption.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","Yes","2607","2189","74%","NA","Fall 2010","$29,387","-","164562","00211800"
"Babson College","231 Forest Street, Wellesley, Massachusetts 02457-0310","www.babson.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate","Suburb: Large","Yes","3165","2283","91%","NA","Fall 2010","$27,453","-","164580","00212100"
