"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Bellevue University","1000 Galvin Rd S, Bellevue, Nebraska 68005-3098","www.bellevue.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","8896","5554","13%","75%","Fall 2010","$6,349","-","180814","00974300"
"Bryan College of Health Sciences","5035 Everett, Lincoln, Nebraska 68506-1299","www.bryanhealthcollege.edu/bcohs/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","703","597","73%","27%","Fall 2010","$22,249","-","180878","00639900"
"Capitol School of Hairstyling and Esthetics","10803 John Galt Blvd., Omaha, Nebraska 68137-2325","www.capitollook.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","124","124","79%","16%","Fall 2013","$11,339","Cosmetology/Cosmetologist, General","365693","00961700"
"Central Community College","3134 West Hwy 34, Grand Island, Nebraska 68802-4903","www.cccneb.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","Yes","6316","6316","38%","15%","Fall 2013","$7,750","-","180902","02099500"
"Chadron State College","1000 Main St, Chadron, Nebraska 69337-2690","www.csc.edu","4-year, Public","Bachelor's degree|Master's degree","Town: Remote","Yes","2977","2334","43%","35%","Fall 2010","$12,766","-","180948","00253900"
"CHI Health School of Radiologic Technology","6901 North 72nd St, Omaha, Nebraska 68122","www.chihealth.com/school-of-radiologic-technology","2-year, Private not-for-profit","Associate's degree","City: Large","No","18","18","NA","NA","Fall 2013","NA","-","181145","00849200"
"Clarkson College","101 S 42nd St, Omaha, Nebraska 68131-2739","www.clarksoncollege.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","1219","670","46%","NA","Fall 2010","$19,842","-","180832","00986200"
"College of Hair Design-Downtown","304 S Eleventh St, Lincoln, Nebraska 68508-2199","collegeofhairdesign.com","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","92","92","54%","NA","Fall 2013","$16,323","Cosmetology/Cosmetologist, General","180957","02079700"
"College of Hair Design-East Campus","9000 Andermatt Dr, Lincoln, Nebraska 68526","collegeofhairdesign.com","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","City: Large","No","67","67","85%","NA","Fall 2013","$16,759","Cosmetology/Cosmetologist, General","456287","02079701"
"College of Saint Mary","7000 Mercy Rd., Omaha, Nebraska 68106","WWW.CSM.EDU","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Large","Yes","1043","760","40%","48%","Fall 2010","$18,928","-","181604","00254000"
"Concordia University-Nebraska","800 N Columbia Ave, Seward, Nebraska 68434-1556","www.cune.edu","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Distant","Yes","2757","1794","67%","NA","Fall 2010","$19,335","-","180984","00254100"
"Creighton University","2500 California Plaza, Omaha, Nebraska 68178","https://www.creighton.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","Yes","8393","4203","79%","NA","Fall 2010","$30,353","-","181002","00254200"
"Doane University-Arts & Sciences","1014 Boswell Avenue, Crete, Nebraska 68333","www.doane.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1047","1047","59%","NA","Fall 2010","$23,165","-","181020","00254400"
"Doane University-Graduate and Professional Studies","303 N 52nd St, Lincoln, Nebraska 68504","www.doane.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","1568","596","NA","NA","Fall 2010","$15,572","-","448284","00254401"
"Grace University","1311 S 9th St, Omaha, Nebraska 68108-3629","https://www.graceuniversity.edu/","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Large","Yes","393","312","66%","NA","Fall 2010","$18,346","-","181093","00254700"
"Hastings College","710 N Turner Ave, Hastings, Nebraska 68901","www.hastings.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","1246","1186","58%","1%","Fall 2010","$19,871","-","181127","00254800"
