"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Casper College","125 College Drive, Casper, Wyoming 82601-4699","www.caspercollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","Yes","3626","3626","32%","20%","Fall 2013","$6,553","-","240505","00392800"
"Central Wyoming College","2660 Peck Avenue, Riverton, Wyoming 82501","www.cwc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","1982","1982","28%","18%","Fall 2013","$4,231","-","240514","00728900"
"Cheeks International Academy of Beauty Culture-Cheyenne","207 W 18 St, Cheyenne, Wyoming 82001-4413","www.cheeksusa.com","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","49","49","93%","7%","Fall 2013","$6,928","Cosmetology/Cosmetologist, General","240709","02211900"
"CollegeAmerica-Cheyenne","6101 Yellowstone Rd Ste 101, Cheyenne, Wyoming 82009","www.collegeamerica.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree","City: Small","No","45","45","15%","NA","Fall 2010","$25,713","-","451705","02594303"
"Eastern Wyoming College","3200 West C St, Torrington, Wyoming 82240-1699","ewc.wy.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","1604","1604","45%","20%","Fall 2013","$5,607","-","240596","00392900"
"Laramie County Community College","1400 E College Dr, Cheyenne, Wyoming 82007-3299","www.lccc.wy.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Small","Yes","4118","4118","24%","24%","Fall 2013","$6,431","-","240620","00925900"
"Northwest College","231 W 6th St, Powell, Wyoming 82435","www.nwc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","1656","1656","37%","18%","Fall 2013","$6,230","-","240657","00393100"
"Sheridan College","3059 S Coffeen Ave, Sheridan, Wyoming 82801","www.sheridan.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","3988","3988","40%","17%","Fall 2013","$6,308","-","240666","00393000"
"University of Wyoming","Corner of Ninth and Ivinson, Laramie, Wyoming 82071","www.uwyo.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Remote","Yes","12366","9788","55%","26%","Fall 2010","$13,155","-","240727","00393200"
"Western Wyoming Community College","2500 College Dr, Rock Springs, Wyoming 82901","https://www.westernwyoming.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","3462","3462","38%","17%","Fall 2013","$7,399","-","240693","00393300"
"Wyotech-Laramie","1889 Venture Drive, Laramie, Wyoming 82070-9519","https://www.wyotech.edu/campus/laramie","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","Town: Remote","Yes","518","518","79%","NA","Fall 2013","$22,055","Diesel Mechanics Technology/Technician","240718","00915700"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2015-2016 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
