"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy of Interactive Entertainment","537 Cajundome Boulevard #211, Lafayette, Louisiana 70506-4293","www.theaie.us/","< 2-year, Private not-for-profit","One but less than two years certificate","City: Midsize","No","80","80","90%","NA","2013-14","$18,218","-","487658","04248400"
"Aveda Institute-Baton Rouge","2834 S Sherwood Forest Blvd Ste A, Baton Rouge, Louisiana 70816-2246","aisouth.com","< 2-year, Private for-profit","One but less than two years certificate","City: Midsize","No","146","146","62%","NA","2013-14","$17,600","Cosmetology/Cosmetologist, General","159513","02258400"
"Aveda Institute-Covington","1355 Polders Lane, Covington, Louisiana 70433","aisouth.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Small","No","2415","2415","69%","NA","2013-14","$15,724","Cosmetology/Cosmetologist, General","160320","02600900"
"Aveda Institute-Lafayette","2922 Johnston St, Lafayette, Louisiana 70503-3246","aisouth.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","149","149","84%","NA","2013-14","$13,290","Cosmetology/Cosmetologist, General","159522","02117800"
"Ayers Career College","8820 Jewella Ave, Shreveport, Louisiana 71118","www.ayers.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","191","191","64%","NA","2013-14","$22,319","Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician","158246","00462100"
"Baton Rouge Community College","201 Community College Drive, Baton Rouge, Louisiana 70806","www.mybrcc.edu","2-year, Public","One but less than two years certificate|Associate's degree","City: Midsize","No","7297","7297","8%","30%","Fall 2013","$8,302","-","437103","03730300"
"Baton Rouge General Medical Center-School of Nursing","3616 North Blvd, Baton Rouge, Louisiana 70806","https://www.brgeneral.org/medical-education/school-of-nursing/","2-year, Private not-for-profit","Two but less than 4 years certificate","City: Midsize","No","68","68","NA","NA","Fall 2013","NA","-","158325","02335700"
"Baton Rouge School of Computers","9352 Interline Ave, Baton Rouge, Louisiana 70809","www.brsc.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Midsize","No","58","58","97%","NA","Fall 2013","$13,539","Data Entry/Microcomputer Applications, General","158343","02197500"
"Blalock's Professional Beauty College","8101 Kingston Rd Ste 103, Shreveport, Louisiana 71108-5745","blalockbeauty.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","12","12","71%","NA","2013-14","$12,914","Cosmetology/Cosmetologist, General","373456","03027300"
"Blue Cliff College","4436 Veterans Memorial Boulevard, Metairie, Louisiana 70006-0000","www.bluecliffcollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","","","NA","NA","Fall 2013","NA","Cosmetology/Cosmetologist, General","43482101","03294302"
"Blue Cliff College-Alexandria","1505 Metro Dr Ste 1, Alexandria, Louisiana 71301","bluecliffcollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","318","318","51%","NA","Fall 2013","$20,841","Medical/Clinical Assistant","450128","03294304"
"Blue Cliff College-Houma","803 Barrow St, Houma, Louisiana 70360","bluecliffcollege.edu/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","322","322","51%","NA","2013-14","$22,835","Medical/Clinical Assistant","450021","03294301"
"Blue Cliff College-Lafayette","120 James Comeaux Rd., Lafayette, Louisiana 70508","bluecliffcollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","311","311","49%","NA","2013-14","$22,205","Cosmetology/Cosmetologist, General","439491","03294303"
"Blue Cliff College-Metairie","3200 Cleary Ave, Metairie, Louisiana 70002-5714","www.bluecliffcollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","867","867","47%","NA","Fall 2013","$21,969","Medical/Clinical Assistant","434821","03294300"
"Blue Cliff College-Shreveport","8731 Park Plaza Drive, Shreveport, Louisiana 71105","bluecliffcollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","247","247","46%","NA","2013-14","$20,804","Cosmetology/Cosmetologist, General","439482","03294306"
