"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy of Hair Design-Grenada","1301 Sunset Dr #JK, Grenada, Mississippi 38901","www.academyofhair.com/grenada-campus","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Rural: Fringe","No","23","23","100%","NA","Fall 2013","$15,760","Cosmetology/Cosmetologist, General","175722","02244305"
"Academy of Hair Design-Jackson","1815 Terry Rd, Jackson, Mississippi 39204","www.academyofhair.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","81","81","93%","NA","Fall 2013","$16,376","Cosmetology/Cosmetologist, General","374316","02244300"
"Academy of Hair Design-Pearl","3167 Hwy 80 E, Pearl, Mississippi 39208","www.academyofhair.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","44","44","100%","NA","Fall 2013","$16,870","Cosmetology/Cosmetologist, General","382461","02235900"
"Alcorn State University","1000 ASU Dr Ste 359, Alcorn State, Mississippi 39096-7500","www.alcorn.edu","4-year, Public","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","Rural: Remote","Yes","3420","2825","31%","NA","Fall 2010","$14,600","-","175342","00239600"
"Antonelli College-Hattiesburg","1500 N 31st Ave, Hattiesburg, Mississippi 39401","www.antonellicollege.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Small","No","188","188","58%","NA","Fall 2013","$24,597","-","383950","01289102"
"Antonelli College-Jackson","2323 Lakeland Drive, Jackson, Mississippi 39232","www.antonellicollege.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Rural: Fringe","No","301","301","70%","NA","Fall 2013","$23,108","-","175528","01289101"
"Belhaven University","1500 Peachtree St, Jackson, Mississippi 39202","www.belhaven.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","Yes","4758","2714","36%","NA","Fall 2010","$18,486","-","175421","00239700"
"Blue Cliff College-Gulfport","12251 Bernard Pkwy, Gulfport, Mississippi 39503","bluecliffcollege.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","384","384","56%","NA","2013-14","$22,632","Medical/Clinical Assistant","441502","03294305"
"Blue Mountain College","201 W Main St, Blue Mountain, Mississippi 38610-9509","www.bmc.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Rural: Distant","Yes","573","546","51%","31%","Fall 2010","$10,944","-","175430","00239800"
"Chris Beauty College","1265 Pass Rd, Gulfport, Mississippi 39501","www.chrisbeautycollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","52","52","80%","NA","Fall 2013","$13,811","Cosmetology/Cosmetologist, General","175494","02074900"
