"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Guam Community College","1 Sesame Street, Mangilao, Guam 96913","www.guamcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Town: Remote","No","2142","2142","17%","NA","Fall 2013","$6,627","-","240745","01536100"
"Pacific Islands University","172 Kinney's Road, Mangilao, Guam 96913","www.PIU.edu","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Master's degree","Town: Remote","Yes","67","64","50%","17%","Fall 2010","$6,702","-","439862","03438300"
"University of Guam","303 University Drive, UOG Station, Mangilao, Guam 96923","www.uog.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Remote","Yes","3875","3562","30%","NA","Fall 2010","$8,265","-","240754","00393500"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2015-2016 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
