"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Brown University","One Prospect Street, Providence, Rhode Island 02912","www.brown.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","9781","6926","96%","NA","Fall 2010","$25,264","-","217156","00340100"
"Bryant University","1150 Douglas Pike, Smithfield, Rhode Island 02917-1291","www.bryant.edu/","4-year, Private not-for-profit","Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","3698","3462","77%","16%","Fall 2010","$36,490","-","217165","00340200"
"Community College of Rhode Island","400 East Ave, Warwick, Rhode Island 02886-1807","www.ccri.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","15101","15101","17%","19%","Fall 2013","$5,632","-","217475","00340800"
"Empire Beauty School-Warwick","1276 Bald Hill Road, Warwick, Rhode Island 02886","www.empire.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","91","91","82%","NA","2013-14","$12,827","Cosmetology/Cosmetologist, General","217581","01260608"
"International Yacht Restoration School","253 Franklin Street, Bristol, Rhode Island 02809-3807","iyrs.edu","< 2-year, Private not-for-profit","One but less than two years certificate","Suburb: Large","No","","","NA","NA","2013-14","NA","Marine Maintenance/Fitter and Ship Repair Technology/Technician","43723701","03732301"
"International Yacht Restoration School","449 Thames St, Newport, Rhode Island 02840","www.iyrs.edu","2-year, Private not-for-profit","One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","98","98","92%","NA","Fall 2013","$16,892","Marine Maintenance/Fitter and Ship Repair Technology/Technician","437237","03732300"
"Johnson & Wales University-Online","8 Abbott Park Pl, Providence, Rhode Island 02903","online.jwu.edu/?_ga=2.244666885.1432107725.1502198571-1382828486.1499961993","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","No","799","426","NA","NA","Fall 2010","$8,871","-","460349","00340400"
"Johnson & Wales University-Providence","8 Abbott Park Place, Providence, Rhode Island 02903-3703","www.jwu.edu/campuses/providence/index.html","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","9324","8459","62%","2%","Fall 2010","$28,227","-","217235","00340400"
"Lincoln Technical Institute-Lincoln","622 George Washington Hwy, Lincoln, Rhode Island 02865","www.lincolnedu.com/campus/lincoln-ri","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","596","596","63%","NA","2013-14","$24,214","Medical/Clinical Assistant","433101","01246116"
"MKG Beauty & Business","379 Atwood Avenue, Cranston, Rhode Island 02920-4358","www.avedainstituteri.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","91","91","82%","NA","2013-14","$20,501","Cosmetology/Cosmetologist, General","485582","04246000"
"MotoRing Technical Training Institute","54 Water Street, East Providence, Rhode Island 02914-5022","mtti.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","13","13","92%","NA","2013-14","$16,310","Marine Maintenance/Fitter and Ship Repair Technology/Technician","479062","03115201"
"New England Institute of Technology","One New England Tech Boulevard, East Greenwich, Rhode Island 02818-1205","www.neit.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Suburb: Large","Yes","2962","2853","54%","NA","Fall 2010","$28,183","-","217305","00784500"
"New England Tractor Trailer Training School of Rhode Island","600 Moshassuck Valley Industrial Hwy, Pawtucket, Rhode Island 02860","www.nettts.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","511","511","75%","NA","2013-14","$10,867","Truck and Bus Driver/Commercial Vehicle Operator and Instructor","217323","02584400"
"Newport School of Hairdressing-Main Campus","226 Main St, Pawtucket, Rhode Island 02860","www.newportschoolofhairdressing.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","22","22","NA","NA","2013-14","NA","Cosmetology/Cosmetologist, General","217350","03080000"
"Paul Mitchell the School-Rhode Island","30 Chapel View Blvd., Suite 100, Cranston, Rhode Island 02920","paulmitchell.edu/rhodeisland","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","192","192","67%","NA","2013-14","$17,586","Cosmetology/Cosmetologist, General","443641","02531802"
"Providence College","1 Cunningham Square, Providence, Rhode Island 02918-0001","www.providence.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","4568","4034","83%","14%","Fall 2010","$35,238","-","217402","00340600"
"Rhode Island College","600 Mount Pleasant Ave, Providence, Rhode Island 02908","www.ric.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","Suburb: Large","Yes","8446","7398","47%","NA","Fall 2010","$9,145","-","217420","00340700"
"Rhode Island School of Design","2 College St, Providence, Rhode Island 02903-2784","www.risd.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","Yes","2477","1999","90%","4%","Fall 2010","$39,389","-","217493","00340900"
"Ridley-Lowell Business & Technical Institute","186 Providence Street, West Warwick, Rhode Island 02893","www.ridley.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","75","75","95%","NA","2013-14","$20,889","Medical/Clinical Assistant","483568","02112305"
"Rob Roy Academy - Woonsocket","251 Main Street, Woonsocket, Rhode Island 02895-3210","www.rob-roy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","","","NA","NA","2013-14","NA","Barbering/Barber","37369601","02181601"
"Roger Williams University","One Old Ferry Road, Bristol, Rhode Island 02809-2921","https://www.rwu.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Large","Yes","5193","4902","64%","29%","Fall 2010","$35,275","-","217518","00341000"
"Roger Williams University School of Law","Ten Metacom Ave, Bristol, Rhode Island 02809-5171","law.rwu.edu/","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","Suburb: Large","No","431","","NA","NA","Fall 2010","NA","-","409616","00341001"
"Salve Regina University","100 Ochre Point Avenue, Newport, Rhode Island 02840-4192","www.salve.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","2746","2124","68%","NA","Fall 2010","$30,905","-","217536","00341100"
"St Joseph School of Nursing","200 High Service Avenue, North Providence, Rhode Island 02904","www.nursingri.com","2-year, Private for-profit","Two but less than 4 years certificate","Suburb: Large","No","126","126","100%","NA","Fall 2013","$26,794","-","217572","00659100"
"Toni & Guy Hairdressing Academy-Cranston","1400 Oaklawn Ave, Cranston, Rhode Island 02920","https://toniguy.edu/","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","142","142","76%","NA","2013-14","$14,973","Cosmetology/Cosmetologist, General","455965","04141200"
"University of Rhode Island","Green Hall, 35 Campus Avenue, Kingston, Rhode Island 02881","web.uri.edu/","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","Yes","17822","14812","63%","NA","Fall 2010","$18,391","-","217484","00341400"
"","* Cohort Year represents the year for which students began their studies and applies to Graduation and Transfer Out Rates.","","","","","","","","","","","","","",""
"","** Net Price is Average Net Price for 2015-2016 generated for full-time beginning undergraduate students who were awarded grant or scholarship aid from federal, state or local governments, or the institution. For public institutions only students paying the in-state or in-district rate are included.  For institutions that charge students by program, net price is generated for the institution’s largest program.","","","","","","","","","","","","","",""
"","NA (Not applicable) - Graduation rate, transfer-out rate and the net price are not applicable to institutions that do not have full-time, first-time degree-seeking undergraduate students in the applicable cohort year or the financial aid year.","","","","","","","","","","","","","",""
