"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Abraham Baldwin Agricultural College","2802 Moore Hwy, Tifton, Georgia 31793-2601","www.abac.edu","4-year, primarily associate's, Public","Associate's degree|Bachelor's degree","Town: Distant","Yes","3475","3475","21%","22%","Fall 2010","$8,123","-","138558","00154100"
"Agnes Scott College","141 E. College Ave., Decatur, Georgia 30030-3770","www.agnesscott.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","Yes","927","927","70%","NA","Fall 2010","$21,315","-","138600","00154200"
"Albany State University","504 College Drive, Albany, Georgia 31705","https://www.asurams.edu/","4-year, Public","Bachelor's degree|Master's degree|Post-master's certificate","City: Small","Yes","3041","2594","31%","23%","Fall 2010","$12,183","-","138716","00154400"
"Albany Technical College","1704 South Slappey Boulevard, Albany, Georgia 31701","www.albanytech.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","3251","3251","39%","NA","Fall 2013","$449","-","138682","00560100"
"Altierus Career College-Atlanta West","2841 Greenbriar Parkway, SW, Atlanta, Georgia 30331-2620","https://www.altierus.org/campus/atlanta-west","< 2-year, Private not-for-profit","One but less than two years certificate","City: Large","No","356","356","54%","NA","2013-14","$21,854","Medical/Clinical Assistant","467784","00982808"
"Altierus Career College-Norcross","1750 Beaver Ruin Rd-Ste 500, Norcross, Georgia 30093-2813","https://www.altierus.org/campus/norcross","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","300","300","61%","NA","Fall 2013","$15,821","-","443748","00982811"
"American InterContinental University-Atlanta","6600 Peachtree Dunwoody Road, 500 Embassy Row, Atlanta, Georgia 30328","www.aiuniv.edu/online-campus/campus-locations/atlanta","4-year, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree","City: Midsize","No","2205","1994","21%","NA","Fall 2010","$19,244","-","438586","02113613"
"Andrew College","501College St, Cuthbert, Georgia 39840-5550","www.andrewcollege.edu","2-year, Private not-for-profit","Associate's degree","Town: Distant","Yes","276","276","19%","63%","Fall 2013","$18,095","-","138761","00154500"
"Argosy University-Atlanta","980 Hammond Drive, Building 2, Suite 100, Atlanta, Georgia 30328","www.argosy.edu/locations/atlanta","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","No","1416","458","0%","NA","Fall 2010","$17,257","-","367936","02179902"
"Armstrong State University","11935 Abercorn St, Savannah, Georgia 31419-1997","https://www.armstrong.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","7157","6397","33%","27%","Fall 2010","$18,854","-","138789","00154600"
