"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"American Baptist College","1800 Baptist World Ctr Dr, Nashville, Tennessee 37207-9980","www.abcnash.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","139","139","21%","NA","Fall 2010","$17,655","-","219505","01046000"
"Aquinas College","4210 Harding Pike, Nashville, Tennessee 37205","www.aquinascollege.edu","4-year, primarily associate's, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","City: Large","Yes","342","310","21%","NA","Fall 2010","$18,708","-","219578","00347700"
"Argosy University-Nashville","100 Centerview Dr, Suite 225, Nashville, Tennessee 37214","www.argosy.edu/nashville/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","342","135","33%","NA","Fall 2010","$21,318","-","450535","02179914"
"Arnolds Beauty School","1179 S Second St, Milan, Tennessee 38358","arnoldsbeautyschool.com","< 2-year, Private for-profit","One but less than two years certificate","Town: Distant","No","55","55","67%","NA","2013-14","$16,318","Cosmetology/Cosmetologist, General","219587","02257400"
"Austin Peay State University","601 College St, Clarksville, Tennessee 37044","www.apsu.edu","4-year, Public","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate","City: Midsize","Yes","10344","9513","38%","13%","Fall 2010","$12,688","-","219602","00347800"
"Austin's Beauty College Inc","585A South Riverside Drive, Clarksville, Tennessee 37040-3107","www.austinbeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","25","25","100%","NA","2013-14","$28,143","Cosmetology/Cosmetologist, General","219851","04142000"
"Baptist Memorial College of Health Sciences","1003 Monroe Ave, Memphis, Tennessee 38104","www.bchs.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","City: Large","Yes","1076","1076","72%","NA","Fall 2010","$9,626","-","219639","03440300"
"Belmont University","1900 Belmont Blvd, Nashville, Tennessee 37212-3757","www.belmont.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Large","Yes","7723","6293","70%","25%","Fall 2010","$34,678","-","219709","00347900"
"Bethel University","325 Cherry Ave, McKenzie, Tennessee 38201","www.bethelu.edu/","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","5975","4829","35%","44%","Fall 2010","$14,583","-","219718","00348000"
"Brightwood College-Nashville","750 Envious Lane, Nashville, Tennessee 37217-5318","www.brightwood.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","197","197","52%","NA","Fall 2013","$21,076","Medical/Clinical Assistant","246202","02326200"
"Bryan College-Dayton","721 Bryan Drive, Dayton, Tennessee 37321","www.bryan.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Town: Distant","Yes","1481","1349","58%","NA","Fall 2010","$16,431","-","219790","00353600"
"Buchanan Beauty College","925 Sevier Street, Shelbyville, Tennessee 37160","buchananbeautycollege.shutterfly.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Distant","No","","","78%","NA","2013-14","$7,541","Cosmetology/Cosmetologist, General","446075","03930300"
