"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Allen College","1990 Heath St, Waterloo, Iowa 50703-1999","www.allencollege.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice|Doctor's degree - other","City: Small","No","620","360","100%","NA","Fall 2010","NA","-","152798","03069100"
"American College of Hairstyling-Des Moines","603 E Sixth St, Des Moines, Iowa 50309","www.americancollegeofhair.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","24","24","76%","NA","Fall 2013","$10,687","Barbering/Barber","153588","00765800"
"American Hair Academy","304 South Iris, Mt. Pleasant, Iowa 52641","americanhairacademy.com","2-year, Private for-profit","Two but less than 4 years certificate","Town: Remote","No","28","28","67%","NA","Fall 2013","$10,281","Cosmetology/Cosmetologist, General","153463","02289000"
"Aveda Institute-Des Moines","6905 Mills Civic Pkwy Suite 120, West Des Moines, Iowa 50266","avedainstitutedesmoines.com/","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","City: Small","No","153","153","85%","NA","Fall 2013","$11,244","Cosmetology/Cosmetologist, General","475015","04203300"
"Briar Cliff University","3303 Rebecca Street, Sioux City, Iowa 51104","www.briarcliff.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Small","Yes","1316","1117","44%","NA","Fall 2010","$18,818","-","152992","00184600"
"Buena Vista University","610 W 4th St, Storm Lake, Iowa 50588","www.bvu.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Remote","Yes","2114","1921","53%","NA","Fall 2010","$21,476","-","153001","00184700"
"Capri College-Cedar Rapids","2945 Williams Parkway S.W., Cedar Rapids, Iowa 52404","www.capricollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","143","143","71%","NA","Fall 2013","$13,754","Cosmetology/Cosmetologist, General","153083","02090300"
"Capri College-Davenport","2540 E. 53rd Street, Davenport, Iowa 52807-3003","www.capricollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","155","155","70%","NA","Fall 2013","$12,425","Cosmetology/Cosmetologist, General","154448","00771700"
"Capri College-Dubuque","395 Main St, Dubuque, Iowa 52004-0873","www.capricollege.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","204","204","76%","NA","Fall 2013","$10,252","Cosmetology/Cosmetologist, General","153074","00758800"
"Carlson College of Massage Therapy","11809 Country Rd X28, Anamosa, Iowa 52205","www.carlsoncollege.com","< 2-year, Private for-profit","Less than one year certificate","Rural: Distant","No","51","51","93%","NA","2013-14","$11,788","Massage Therapy/Therapeutic Massage","451194","03720300"
"Central College","812 University, Pella, Iowa 50219","www.central.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1248","1248","65%","NA","Fall 2010","$22,695","-","153108","00185000"
"Clarke University","1550 Clarke Dr, Dubuque, Iowa 52001-3198","www.clarke.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Small","Yes","1043","801","61%","NA","Fall 2010","$23,787","-","153126","00185200"
"Coe College","1220 First Ave NE, Cedar Rapids, Iowa 52402-5092","www.coe.edu","4-year, Private not-for-profit","Bachelor's degree","City: Midsize","Yes","1406","1406","67%","NA","Fall 2010","$21,870","-","153144","00185400"
"Cornell College","600 First St. SW, Mount Vernon, Iowa 52314-1098","www.cornellcollege.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Fringe","Yes","978","978","68%","26%","Fall 2010","$27,915","-","153162","00185600"
"Des Moines Area Community College","2006 Ankeny Blvd, Ankeny, Iowa 50023-3993","www.dmacc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Suburb: Large","Yes","22446","22446","27%","NA","Fall 2013","$10,385","-","153214","00712000"
"Des Moines University-Osteopathic Medical Center","3200 Grand Ave, Des Moines, Iowa 50312","www.dmu.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","City: Midsize","No","1585","","NA","NA","Fall 2010","NA","-","154156","00185500"
"Divine Word College","102 Jacoby Dr SW, Epworth, Iowa 52045","www.dwci.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Rural: Distant","Yes","64","64","33%","44%","Fall 2010","$6,917","-","153241","00185800"
"Dordt College","498 4th Ave NE, Sioux Center, Iowa 51250-1697","www.dordt.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Remote","Yes","1522","1454","69%","NA","Fall 2010","$24,109","-","153250","00185900"
"Drake University","2507 University Avenue, Des Moines, Iowa 50311-4505","www.drake.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","Yes","5001","3267","78%","NA","Fall 2010","$28,088","-","153269","00186000"
"E Q School of Hair Design","536 W Broadway, Council Bluffs, Iowa 51503","www.eqschool.net","2-year, Private for-profit","Two but less than 4 years certificate","City: Small","No","41","41","52%","NA","Fall 2013","$7,816","Cosmetology/Cosmetologist, General","154466","00761100"
"Eastern Iowa Community College District","306 W River Dr, Davenport, Iowa 52801-1221","www.eicc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","Yes","7872","7872","35%","16%","Fall 2013","$9,373","-","153311","00407500"
