"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Abcott Institute","16250 Northland Drive, Suite 205, Southfield, Michigan 48075-5227","www.abcott.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","94","94","85%","NA","2013-14","$17,519","Nursing Assistant/Aide and Patient Care Assistant/Aide","461892","04183300"
"Adrian College","110 S Madison St, Adrian, Michigan 49221-2575","www.adrian.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","1684","1653","53%","NA","Fall 2010","$25,839","-","168528","00223400"
"Albion College","611 E Porter St, Albion, Michigan 49224","www.albion.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Fringe","Yes","1418","1418","71%","NA","Fall 2010","$20,695","-","168546","00223500"
"Alma College","614 W Superior, Alma, Michigan 48801-1599","alma.edu","4-year, Private not-for-profit","Bachelor's degree","Town: Distant","Yes","1451","1451","67%","NA","Fall 2010","$21,537","-","168591","00223600"
"Alpena Community College","665 Johnson St, Alpena, Michigan 49707","www.alpenacc.edu","4-year, primarily associate's, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Rural: Fringe","No","1536","1536","NA","NA","Fall 2010","$3,106","-","168607","00223700"
"Altierus Career Education-Southfield","21107 Lahser Road, Southfield, Michigan 48033-4400","https://www.altierus.org/campus/southfield","< 2-year, Private not-for-profit","One but less than two years certificate","City: Small","No","577","577","56%","3%","2013-14","$19,696","Licensed Practical/Vocational Nurse Training","171322","00982800"
"Andrews University","4150 Administration Drive, Room 136, Berrien Springs, Michigan 49104","www.andrews.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","Town: Fringe","Yes","3317","1673","63%","22%","Fall 2010","$22,012","-","168740","00223800"
"Aquinas College","1700 Fulton St. E, Grand Rapids, Michigan 49506-1801","www.aquinas.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","1764","1654","53%","24%","Fall 2010","$18,071","-","168786","00223900"
"Baker College","1050 West Bristol Road, Flint, Michigan 48507-5508","www.baker.edu","4-year, primarily associate's, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","Yes","21210","20705","15%","NA","Fall 2010","$12,554","-","168847","00467300"
"Baker College Center for Graduate Studies","1050 W Bristol Rd, Flint, Michigan 48507-1290","www.baker.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","Suburb: Large","No","","","NA","NA","Fall 2010","NA","-","16884710","00467313"
"Baker College of Allen Park","4500 Enterprise Dr, Allen Park, Michigan 48101","www.baker.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","No","","","NA","NA","Fall 2010","NA","-","16884702","00467317"
"Baker College of Auburn Hills","1500 University Drive, Auburn Hills, Michigan 48326","www.baker.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","No","","","NA","NA","Fall 2010","NA","-","16884703","00467305"
"Baker College of Cadillac","9600 E 13th St, Cadillac, Michigan 49601-9600","www.baker.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Town: Remote","Yes","","","NA","NA","Fall 2010","NA","-","16884704","00467301"
"Baker College of Clinton Township","34950 Little Mack Ave, Clinton Township, Michigan 48035-9600","www.baker.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Large","No","","","NA","NA","Fall 2010","NA","-","16884705","00467302"
"Baker College of Jackson","2800 Springport Rd, Jackson, Michigan 49202-1290","www.baker.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Suburb: Small","No","","","NA","NA","Fall 2010","NA","-","16884706","00467309"
"Baker College of Muskegon","1903 Marquette Ave, Muskegon, Michigan 49442-1290","www.baker.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","City: Small","Yes","","","NA","NA","Fall 2010","NA","-","16884707","00467303"
"Baker College of Owosso","1020 S. Washington Street, Owosso, Michigan 48867","www.baker.edu","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate","Town: Distant","Yes","","","NA","NA","Fall 2010","NA","-","16884701","00467304"
"Baker College of Port Huron","3403 Lapeer Road, Port Huron, Michigan 48060-1290","www.baker.edu/","4-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Small","Yes","","","NA","NA","Fall 2010","NA","-","16884709","00467306"
"Bay de Noc Community College","2001 N Lincoln Road, Escanaba, Michigan 49829-2511","www.baycollege.edu/default.aspx","2-year, Public","One but less than two years certificate|Associate's degree","Town: Remote","Yes","1842","1842","17%","23%","Fall 2013","$8,044","-","168883","00224000"
"Bay Mills Community College","12214 W Lakeshore Dr, Brimley, Michigan 49715","www.bmcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Distant","No","467","467","24%","6%","Fall 2013","$5,573","-","380359","03066600"
"Bayshire Academy of Beauty Craft Inc","917 Saginaw St, Bay City, Michigan 48708-5614","www.bayshirebeautyacademy.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","38","38","92%","NA","2013-14","$5,416","Cosmetology/Cosmetologist, General","168892","02285700"
"Brighton Institute of Cosmetology","10543 Citation Drive, Brighton, Michigan 48116-8360","www.brightoninstitute.net","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Midsize","No","44","44","72%","NA","2013-14","$9,031","Cosmetology/Cosmetologist, General","477002","04211200"
"Cadillac Institute of Cosmetology","205 N Mitchell St, Cadillac, Michigan 49601","instituteofcos.net","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Remote","No","21","21","86%","NA","2013-14","$12,553","Cosmetology/Cosmetologist, General","169071","03109701"
"Calvin College","3201 Burton Street SE, Grand Rapids, Michigan 49546","www.calvin.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Midsize","Yes","3918","3806","77%","NA","Fall 2010","$25,446","-","169080","00224100"
"Calvin Theological Seminary","3233 Burton St SE, Grand Rapids, Michigan 49546-4387","www.calvinseminary.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - research/scholarship","City: Midsize","Yes","270","","NA","NA","Fall 2010","NA","-","169099","00224200"
"Career Quest Learning Centers-Jackson","209 E Washington Ave, Ste 241, Jackson, Michigan 48901","www.careerquest.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","No","150","150","64%","NA","Fall 2013","$23,038","Medical/Clinical Assistant","454306","03915301"
"Career Quest Learning Centers-Lansing","3215 S. Pennsylvania Avenue, Lansing, Michigan 48910","www.careerquest.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","299","299","62%","NA","Fall 2013","$23,744","Medical/Clinical Assistant","446136","03915300"
"Carnegie Institute","550 Stephenson Hwy Suite 100, Troy, Michigan 48083","www.carnegie-institute.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","176","176","85%","NA","Fall 2013","$17,553","-","169187","00761700"
"Central Michigan University","106 Warriner Hall, Mount Pleasant, Michigan 48859","https://www.cmich.edu","4-year, Public","Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Town: Distant","Yes","25986","19877","57%","NA","Fall 2010","$14,275","-","169248","00224300"
"Chamberlain University-Michigan","200 Kirts Boulevard, Suite C, Troy, Michigan 48084-5286","www.chamberlain.edu","4-year, Private for-profit","Bachelor's degree","City: Small","No","304","304","NA","NA","Fall 2010","NA","-","486947","00638516"
"Cleary University","3750 Cleary Drive, Howell, Michigan 48843","www.cleary.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree","Suburb: Midsize","Yes","592","473","18%","NA","Fall 2010","$12,173","-","169327","00224600"
