"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Allen County Community College","1801 N Cottonwood, Iola, Kansas 66749","www.allencc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","2379","2379","33%","25%","Fall 2013","$7,138","-","154642","00190100"
"Baker University","618 Eighth Street, Baldwin City, Kansas 66006-0065","https://www.bakeru.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","Town: Fringe","Yes","2726","1867","55%","NA","Fall 2010","$21,680","-","154688","00190300"
"Baker University School of Nursing","1500 SW 10th Street, Topeka, Kansas 66604-1353","www.bakeru.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Midsize","","","","NA","NA","Fall 2010","NA","-","15468801","00190302"
"Baker University School of Professional and Graduate Studies and Graduate School of Education","7301 College Blvd, Suite 100, Overland Park, Kansas 66210-1937","www.bakeru.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Midsize","No","","","NA","NA","Fall 2010","NA","-","15468802","00190301"
"Barclay College","607 N Kingman, Haviland, Kansas 67059-0288","www.barclaycollege.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Master's degree|Post-master's certificate","Rural: Remote","Yes","292","250","60%","9%","Fall 2010","$13,343","-","155070","00191700"
"Barton County Community College","245 NE 30th Road, Great Bend, Kansas 67530","www.bartonccc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","4352","4352","21%","42%","Fall 2013","$9,519","-","154697","00460800"
"Bellus Academy","1130 Westloop Place, Manhattan, Kansas 66502-2838","www.bellusacademy.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","194","194","82%","NA","2013-14","$25,190","Cosmetology and Related Personal Grooming Arts, Other","478953","02343401"
"Benedictine College","1020 N 2nd St, Atchison, Kansas 66002-1499","www.benedictine.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Town: Distant","Yes","2312","2245","63%","NA","Fall 2010","$24,816","-","154712","01025600"
"Bethany College","335 E Swensson St, Lindsborg, Kansas 67456-1897","www.bethanylb.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree","Town: Remote","Yes","721","721","42%","30%","Fall 2010","$24,236","-","154721","00190400"
"Bethel College-North Newton","300 E 27th St, North Newton, Kansas 67117-1716","www.bethelks.edu","4-year, Private not-for-profit","Less than one year certificate|Bachelor's degree","Town: Distant","Yes","460","460","53%","NA","Fall 2010","$22,082","-","154749","00190500"
"Brown Mackie College-Kansas City","9705 Lenexa Dr., Lenexa, Kansas 66215","www.brownmackie.edu/locations/kansas-city","2-year, Private for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","171","171","43%","NA","Fall 2013","NA","-","154767","00675501"
"Brown Mackie College-Salina","2106 South 9th Street, Salina, Kansas 67401-7307","www.brownmackie.edu/locations/salina","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Town: Remote","No","149","149","31%","NA","Fall 2010","NA","-","154776","00675500"
"Bryan University","1527 SW Fairlawn Rd, Topeka, Kansas 66604","www.bryanu.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Midsize","No","107","107","49%","3%","Fall 2013","$20,197","-","154794","03066200"
"Butler Community College","901 S Haverhill Rd, El Dorado, Kansas 67042-3280","www.butlercc.edu/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Distant","Yes","9190","9190","21%","26%","Fall 2013","$7,667","-","154800","00190600"
"Central Baptist Theological Seminary","6601 Monticello Road, Shawnee, Kansas 66226-3513","https://www.cbts.edu","4-year, Private not-for-profit","One but less than two years certificate|Master's degree|Doctor's degree - professional practice","Suburb: Large","No","","","NA","NA","Fall 2010","NA","-","154837",""
"Central Christian College of Kansas","1200 S Main, McPherson, Kansas 67460-5740","www.centralchristian.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Remote","Yes","1013","1013","30%","NA","Fall 2010","$20,139","-","154855","00190800"
"Cleveland University-Kansas City","10850 Lowell Avenue, Overland Park, Kansas 66210","www.cleveland.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","No","464","52","20%","80%","Fall 2010","$37,161","-","177038","02090700"
"Cloud County Community College","2221 Campus Dr, Concordia, Kansas 66901-1002","https://www.cloud.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","Yes","2038","2038","32%","28%","Fall 2013","$5,686","-","154907","00190900"
"Coffeyville Community College","400 W 11th St, Coffeyville, Kansas 67337-5064","www.coffeyville.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","1703","1703","40%","29%","Fall 2013","$5,374","-","154925","00191000"
