"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Abdill Career College Inc","843 E Main Ste 203, Medford, Oregon 97504-7137","www.abdill.com","< 2-year, Private for-profit","Less than one year certificate","City: Small","No","22","22","74%","NA","2013-14","$21,251","Medical/Clinical Assistant","208123","03783400"
"Academy of Hair Design-Salem","305 Court NE, Salem, Oregon 97301","academyofhairdesign.info","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","","","NA","NA","Fall 2013","NA","Cosmetology/Cosmetologist, General","208080","01050700"
"Altierus Career College-Tigard","9600 SW Oak St, Suite 400, Tigard, Oregon 97223-6583","https://www.altierus.org/campus/tigard","< 2-year, Private not-for-profit","One but less than two years certificate","Suburb: Large","No","226","226","73%","NA","2013-14","$18,365","Medical/Clinical Assistant","442620","02617506"
"American College of Healthcare Sciences","5005 SW Macadam Ave, Portland, Oregon 97239","www.achs.edu","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Postbaccalaureate certificate|Master's degree","City: Large","No","741","494","NA","NA","Fall 2010","$19,519","-","443599","04194400"
"Aveda Institute-Portland","325 Northwest 13th Avenue, Portland, Oregon 97209-3144","avedapdx.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","277","277","81%","2%","Fall 2013","$14,957","Cosmetology/Cosmetologist, General","460862","04171400"
"Beau Monde College of Hair Design","2201 Lloyd Center Suite C304, Portland, Oregon 97232","www.beaumondeacademy.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","50","50","100%","NA","Fall 2013","$10,812","Cosmetology/Cosmetologist, General","208248","02154402"
"Beau Monde College of Hair Design-Beau Monde Academy of Cosmetology","2201 Lloyd Center Suite C304, Portland, Oregon 97232-1315","www.beaumondeacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","95","95","NA","NA","2013-14","$16,536","Cosmetology/Cosmetologist, General","485166","02154400"
"Birthingway College of Midwifery","12113 SE Foster Rd, Portland, Oregon 97266","birthingway.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Large","No","64","64","NA","NA","Fall 2010","NA","-","442949","03668300"
"Blue Mountain Community College","2411 NW Carden Ave, Pendleton, Oregon 97801","www.bluecc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Fringe","No","1660","1660","23%","34%","Fall 2013","$10,107","-","208275","00318600"
"Carrington College-Portland","2004 Lloyd Center, 3rd Fl., Portland, Oregon 97232-1309","www.carrington.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","240","240","NA","NA","2013-14","$18,825","Medical/Clinical Assistant","246035","03042500"
"Central Oregon Community College","2600 NW College Way, Bend, Oregon 97703","www.cocc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Small","Yes","5711","5711","20%","20%","Fall 2013","$9,677","-","208318","00318800"
