"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"All Beauty College","2060 W. Acoma Boulevard, Lake Havasu City, Arizona 86403-2974","www.allbeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Small","No","21","21","NA","NA","2013-14","$11,248","Cosmetology/Cosmetologist, General","486868","04174202"
"All Beauty College","2153 East Gordon Drive, Kingman, Arizona 86409-2561","www.allbeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Remote","No","39","39","NA","NA","2013-14","$9,926","Cosmetology/Cosmetologist, General","485306","04174201"
"All Beauty College","1385 East Gemini St, Fort Mohave, Arizona 86426","www.allbeautycollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Remote","No","18","18","52%","4%","2013-14","$9,510","Cosmetology/Cosmetologist, General","459125","04174200"
"Allen School-Phoenix","15650 North Black Canyon Highway, B210, Phoenix, Arizona 85053-4064","www.allenschool.edu","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Large","No","483","483","67%","NA","Fall 2013","$21,539","Medical Insurance Coding Specialist/Coder","469610","03358303"
"American Institute of Interior Design","13014 N. Saguaro Blvd., Suite 206, Fountain Hills, Arizona 85268","https://www.aiid.edu","< 2-year, Private for-profit","Less than one year certificate","Suburb: Large","No","22","22","88%","NA","2013-14","$13,897","Interior Design","404037","04148700"
"American Institute of Trucking","2350 S. 48th Avenue, Phoenix, Arizona 85043-4380","www.ait-schools.com","< 2-year, Private for-profit","Less than one year certificate","City: Large","No","274","274","44%","NA","2013-14","$17,593","Truck and Bus Driver/Commercial Vehicle Operator and Instructor","103811","02317800"
"Argosy University-Phoenix","2233 West Dunlap Avenue, Phoenix, Arizona 85021","www.argosy.edu/phoenix/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","511","157","0%","NA","Fall 2010","$15,888","-","436094","02179907"
"Argosy University-Phoenix Online Division","2233 West Dunlap Avenue, Phoenix, Arizona 85021","www.argosy.edu/locations/online","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Large","No","7117","5681","5%","NA","Fall 2010","$26,205","-","456348","02179907"
"Arizona Academy of Beauty-East","5631 E Speedway Blvd, Tucson, Arizona 85712","www.arizonaacademy.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","90","90","40%","NA","2013-14","$17,355","Cosmetology/Cosmetologist, General","103954","00886400"
"Arizona Automotive Institute","6829 N 46th Ave, Glendale, Arizona 85301-3579","www.aai.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","739","739","56%","NA","2013-14","$28,385","Welding Technology/Welder","103963","02306807"
