"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Alexandria School of Scientific Therapeutics","809 S Harrison St, Alexandria, Indiana 46001-0287","www.assti.com","< 2-year, Private for-profit","Less than one year certificate","Suburb: Small","Yes","29","29","100%","NA","2013-14","$15,177","Massage Therapy/Therapeutic Massage","368036","03538300"
"American College of Education","101 West Ohio Street, Suite 1200, Indianapolis, Indiana 46204","www.ace.edu","4-year, Private for-profit","Master's degree|Doctor's degree - research/scholarship","City: Large","No","3844","","NA","NA","Fall 2010","NA","-","449889","04151300"
"Anabaptist Mennonite Biblical Seminary","3003 Benham Ave, Elkhart, Indiana 46517-1999","www.ambs.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","City: Small","Yes","99","","NA","NA","Fall 2010","NA","-","151865","00182300"
"Ancilla College","9601 S. Union Road, Donaldson, Indiana 46513-0001","https://www.ancilla.edu/","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","Rural: Distant","Yes","582","582","25%","35%","Fall 2013","$17,671","-","150048","00178400"
"Anderson University","1100 E 5th St, Anderson, Indiana 46012-3495","https://www.anderson.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship","City: Small","Yes","2232","1883","58%","NA","Fall 2010","$23,515","-","150066","00178500"
"Avant Gard The School","1060 E. Main St., Brownsburg, Indiana 46112","www.avantgardtheschool.com","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","30","30","89%","NA","2013-14","$10,784","Cosmetology/Cosmetologist, General","460057","04171700"
"Aveda Fredric's Institute-Indianapolis","6020 E 82nd St, Indianapolis, Indiana 46250","www.avedafi.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","191","191","84%","NA","2013-14","$19,221","Cosmetology/Cosmetologist, General","457563","04155900"
"Aviation Institute of Maintenance-Indianapolis","7251 W McCarty St, Indianapolis, Indiana 46241","www.aviationmaintenance.edu","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","City: Large","No","155","155","59%","NA","Fall 2013","$24,453","-","438735","03176300"
"Ball State University","2000 University Ave, Muncie, Indiana 47306","www.bsu.edu","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","21998","17011","58%","26%","Fall 2010","$13,369","-","150136","00178600"
"Bethany Theological Seminary","615 National Rd W, Richmond, Indiana 47374-4019","www.bethanyseminary.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree","Town: Distant","Yes","49","","NA","NA","Fall 2010","NA","-","143233","00163700"
"Bethel College-Indiana","1001 Bethel Circle, Mishawaka, Indiana 46545-5591","www.bethelcollege.edu","4-year, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","City: Small","Yes","1639","1388","65%","NA","Fall 2010","$19,525","-","150145","00178700"
"Brightwood College-Hammond","7833 Indianapolis Blvd, Hammond, Indiana 46324","www.brightwood.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","218","218","62%","NA","2013-14","$19,294","Medical/Clinical Assistant","152415","02201800"
"Brightwood College-Indianapolis","4200 S East Street, Suite 7, Indianapolis, Indiana 46227","www.brightwood.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Large","No","276","276","50%","NA","Fall 2013","$20,691","Medical/Clinical Assistant","458283","02201806"
"Brown Mackie College-Fort Wayne","3000 E.Coliseum Blvd., Suite 100, Fort Wayne, Indiana 46805","www.brownmackie.edu/locations/fort-wayne","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","131","131","29%","NA","Fall 2010","NA","-","408039","04051322"
"Brown Mackie College-Indianapolis","1200 N Meridian St, Ste 100, Indianapolis, Indiana 46204","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","303","303","15%","NA","Fall 2010","NA","-","451699","04051318"
"Brown Mackie College-Merrillville","1000 E 80th Place, Suite 2055, Merrillville, Indiana 46410","www.brownmackie.edu/locations/merrillville","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","178","178","36%","NA","Fall 2010","NA","-","151616","04051311"
"Brown Mackie College-South Bend","3454 Douglas Rd., South Bend, Indiana 46635","www.brownmackie.edu/locations/south-bend","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","131","131","30%","NA","Fall 2010","NA","-","151944","04051321"
"Butler University","4600 Sunset Ave, Indianapolis, Indiana 46208","www.butler.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - professional practice","City: Large","Yes","5095","4290","74%","20%","Fall 2010","$33,290","-","150163","00178800"
