"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Academy di Firenze","149 West Main Street, Jerome, Idaho 83338-2329","academydifirenze.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Town: Remote","No","9","9","93%","7%","Fall 2013","$10,006","Cosmetology/Cosmetologist, General","476957","04207200"
"Austin Kade Academy","1646 South Woodruff Avenue, Idaho Falls, Idaho 83404-5540","www.austinkade.com","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","City: Small","No","119","119","73%","NA","Fall 2013","$14,756","Cosmetology/Cosmetologist, General","476869","04203500"
"Aveda Institute-Boise","10222 W Fairview Ave, Boise, Idaho 83704-4406","www.avedaidaho.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","49","49","89%","NA","Fall 2013","$20,619","Cosmetology/Cosmetologist, General","461652","04176700"
"Aveda Institute-Twin Falls","837 Pole Line Road Suite 103, Twin Falls, Idaho 83301","www.avedaidaho.com","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","Town: Remote","No","50","50","80%","NA","Fall 2013","$10,768","Cosmetology/Cosmetologist, General","142407","00987300"
"Boise Barber College","7709 W. Overland Rd. 100, Boise, Idaho 83709","boisebarbercollege.com","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Midsize","No","59","59","78%","NA","Fall 2013","$9,641","Barbering/Barber","476850","04203200"
"Boise Bible College","8695 W Marigold St, Boise, Idaho 83714-1220","www.boisebible.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Suburb: Large","Yes","138","138","48%","2%","Fall 2010","$18,919","-","142090","02234500"
"Boise State University","1910 University Dr, Boise, Idaho 83725","www.boisestate.edu","4-year, Public","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship","City: Midsize","Yes","23854","20186","39%","26%","Fall 2010","$11,711","-","142115","00161600"
"Brigham Young University-Idaho","525 S Center, Rexburg, Idaho 83460-1690","www.byui.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree","Town: Distant","Yes","44821","44821","56%","19%","Fall 2010","$8,344","-","142522","00162500"
"Broadview University-Boise","2750 East Gala Court, Meridian, Idaho 83642-0000","www.broadviewuniversity.edu/","4-year, primarily associate's, Private for-profit","Less than one year certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","33","33","NA","NA","Fall 2010","$16,238","-","467793","01116604"
"Brown Mackie College-Boise","9050 W Overland Rd, Ste 101, Boise, Idaho 83709","www.brownmackie.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","125","125","27%","NA","Fall 2010","NA","-","455600","04051323"
"Carrington College-Boise","1122 N. Liberty St., Boise, Idaho 83704-8742","www.carrington.edu","2-year, Private for-profit","One but less than two years certificate|Associate's degree","City: Midsize","No","440","440","48%","4%","Fall 2013","$27,140","Dental Hygiene/Hygienist","142054","02218000"
"College of Eastern Idaho","1600 S 25th E, Idaho Falls, Idaho 83404-5788","www.eitc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","City: Small","No","676","676","57%","14%","Fall 2013","$7,824","-","142179","01113300"
"College of Massage Therapy","98 Poplar Street, Blackfoot, Idaho 83221-1758","www.collegemassagetherapy.com","< 2-year, Public","Less than one year certificate","Town: Distant","No","24","24","87%","NA","2013-14","$14,387","Massage Therapy/Therapeutic Massage","460808","04168600"
"College of Southern Idaho","315 Falls Ave., Twin Falls, Idaho 83301","www.csi.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","7053","7053","21%","15%","Fall 2013","$7,065","-","142559","00161900"
"College of Western Idaho","5500 East Opportunity Drive, Nampa, Idaho 83687","cwidaho.cc/","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Rural: Fringe","No","9120","9120","13%","13%","Fall 2013","$6,818","-","455114","04211800"
"Cosmetology School of Arts and Science LLC","529 Overland Avenue, Burley, Idaho 83318","cosmetologyschoolof-art.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Town: Remote","No","22","22","74%","NA","Fall 2013","$7,396","Cosmetology/Cosmetologist, General","445780","03832400"
"D & L Academy of Hair Design","113 Main Ave E, Twin Falls, Idaho 83301","dandlacademyofhair.com","2-year, Private for-profit","Less than one year certificate|Two but less than 4 years certificate","Town: Remote","No","17","17","78%","7%","Fall 2013","$27,324","-","457493","04150600"
"Elevate Salon Institute-Chubbuck","141 East Chubbuck Road, Chubbuck, Idaho 83202","theschoolofhairstyling.com/","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Small","No","23","23","78%","4%","Fall 2013","$14,520","Cosmetology/Cosmetologist, General","142489","02314000"
"Evans Hairstyling College-Rexburg","67 Winn Dr, Rexburg, Idaho 83440","www.evanshairstylingcollege.com","2-year, Private for-profit","Two but less than 4 years certificate","Town: Distant","No","36","36","87%","13%","Fall 2013","$9,147","Cosmetology/Cosmetologist, General","454935","04134300"
"Headmasters School of Hair Design","602 Main St, Lewiston, Idaho 83501","www.headmasters.edu","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","22","22","51%","NA","Fall 2013","$21,118","Cosmetology/Cosmetologist, General","247010","02349200"
"Idaho State University","921 S 8th Ave, Pocatello, Idaho 83209","www.isu.edu/","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Small","Yes","12916","10966","29%","23%","Fall 2010","$13,301","-","142276","00162000"
"Lewis-Clark State College","500 8th Ave, Lewiston, Idaho 83501-2698","www.lcsc.edu","4-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate|Bachelor's degree","City: Small","Yes","3924","3924","30%","26%","Fall 2010","$11,296","-","142328","00162100"
"Milan Institute-Nampa","1021 W. Hemingway, Nampa, Idaho 83651","www.milaninstitute.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Midsize","No","160","160","69%","NA","2013-14","$23,710","Medical/Clinical Assistant","460525","03422303"
"Mr Leon's School of Hair Design-Lewiston","205 10th St, Lewiston, Idaho 83501","mrleons.com","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","City: Small","No","18","18","96%","NA","Fall 2013","$10,478","Cosmetology/Cosmetologist, General","436100","02275801"
"Mr Leon's School of Hair Design-Moscow","618 S Main St, Moscow, Idaho 83843","mrleons.com","2-year, Private for-profit","One but less than two years certificate|Two but less than 4 years certificate","Town: Distant","No","15","15","80%","NA","Fall 2013","$9,361","Cosmetology/Cosmetologist, General","142416","02275800"
