"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Advanced Technology Institute","5700 Southern Blvd Ste 100, Virginia Beach, Virginia 23462","www.auto.edu","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Large","No","606","606","81%","NA","Fall 2013","$19,788","-","231411","03127500"
"Altierus Career College-Chesapeake","825 Greenbrier Circle Suite 100, Chesapeake, Virginia 23320-2639","https://www.altierus.org/campus/chesapeake","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","Suburb: Large","No","225","225","54%","NA","Fall 2013","$18,063","-","438647","00926701"
"Altierus Career College-Woodbridge","14555 Potomac Mills Rd, Woodbridge, Virginia 22192-6808","https://www.altierus.org/campus/woodbridge","< 2-year, Private not-for-profit","One but less than two years certificate","Suburb: Large","No","255","255","64%","NA","2013-14","$19,308","Medical/Clinical Assistant","480329","02617500"
"American National University","1813 East Main Street, Salem, Virginia 24153","https://www.an.edu/locations/","4-year, primarily associate's, Private for-profit","Less than one year certificate|One but less than two years certificate|Associate's degree|Bachelor's degree|Master's degree","Suburb: Midsize","No","1090","1012","39%","NA","Fall 2010","$18,428","-","232797","00372600"
"Appalachian College of Pharmacy","1060 Dragon Road, Oakwood, Virginia 24631","www.acp.edu","4-year, Private not-for-profit","Doctor's degree - professional practice","Rural: Remote","No","203","","NA","NA","Fall 2010","NA","-","449922","04180600"
"Appalachian School of Law","1169 Edgewater Drive, Grundy, Virginia 24614-2825","www.asl.edu","4-year, Private not-for-profit","Master's degree|Doctor's degree - professional practice","Rural: Remote","No","95","","NA","NA","Fall 2010","NA","-","432348","03559300"
"Argosy University-Northern Virginia","1550 Wilson Boulevard, Suite 600, Arlington, Virginia 22209","www.argosy.edu/washingtondc","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Midsize","No","577","83","0%","NA","Fall 2010","NA","-","419457","02179903"
"Averett University","420 W Main St, Danville, Virginia 24541","www.averett.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","859","859","42%","46%","Fall 2010","$24,904","-","231420","00370200"
"Averett University-Non-Traditional Programs","420 W Main St, Danville, Virginia 24541","gps.averett.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","No","847","490","NA","NA","Fall 2010","$23,737","-","449931","00370200"
"Avi Career Training","10130-B Colvin Run Rd, Great Falls, Virginia 22066","www.AviCareerTraining.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","26","26","100%","NA","2013-14","$22,684","Master Aesthetician/Esthetician","448257","04038400"
"Aviation Institute of Maintenance-Chesapeake","2211 S Military Hwy, Chesapeake, Virginia 23320","www.aviationmaintenance.edu","< 2-year, Private for-profit","One but less than two years certificate","Suburb: Large","No","184","184","58%","NA","2013-14","$26,655","-","427973","03126300"
"Aviation Institute of Maintenance-Manassas","10640 Davidson Place, Manassas, Virginia 20109","www.aviationmaintenance.edu","2-year, Private for-profit","Two but less than 4 years certificate","Suburb: Large","No","163","163","NA","NA","Fall 2013","$24,038","-","445762","03883400"
"Baptist Theological Seminary at Richmond","8040 Villa Park Drive, Henrico, Virginia 23228","www.btsr.edu","4-year, Private not-for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree","Suburb: Large","Yes","67","","NA","NA","Fall 2010","NA","-","366793","03116900"
"Bethel College","1705 Todds Ln, Hampton, Virginia 23666","bcva.edu","4-year, primarily associate's, Private not-for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","55","55","44%","22%","Fall 2010","$17,850","-","458113","04153800"
"Blue Ridge Community College","1 College Lane, Weyers Cave, Virginia 24486-0080","www.brcc.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Rural: Fringe","No","4131","4131","35%","8%","Fall 2013","$8,038","-","231536","00681900"
"Bluefield College","3000 College Avenue, Bluefield, Virginia 24605","www.bluefield.edu","4-year, Private not-for-profit","Associate's degree|Bachelor's degree|Master's degree","Town: Distant","Yes","982","969","32%","NA","Fall 2010","$21,269","-","231554","00370300"
"Bon Secours Memorial College of Nursing","8550 Magellan Parkway Suite 1100, Richmond, Virginia 23227-1149","www.bsmcon.edu","4-year, Private not-for-profit","Bachelor's degree","Suburb: Large","No","522","522","100%","NA","Fall 2010","NA","-","233356","01004300"
"Bon Secours St Mary's Hospital School of Medical Imaging","8550 Magellan Pkwy Ste 700, Richmond, Virginia 23227","www.bonsecours.com/somi/index.asp","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","26","26","NA","NA","2013-14","NA","Radiologic Technology/Science - Radiographer","233480","02358500"
"Bridgewater College","402 E College St, Bridgewater, Virginia 22812-1599","https://www.bridgewater.edu/about-us","4-year, Private not-for-profit","Bachelor's degree","Suburb: Small","Yes","1882","1882","66%","NA","Fall 2010","$20,176","-","231581","00370400"
"Bryant & Stratton College-Hampton","4410 East Claiborne Square, Suite 233, Hampton, Virginia 23666","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Midsize","No","340","340","13%","6%","Fall 2010","$13,835","-","459107","00267816"
"Bryant & Stratton College-Richmond","8141 Hull St Rd, North Chesterfield, Virginia 23235","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","Suburb: Large","No","617","617","12%","2%","Fall 2010","$15,926","-","231828","00267812"
"Bryant & Stratton College-Virginia Beach","301 Centre Pointe Dr, Virginia Beach, Virginia 23462","www.bryantstratton.edu","4-year, primarily associate's, Private for-profit","One but less than two years certificate|Associate's degree|Bachelor's degree","City: Large","No","472","472","30%","4%","Fall 2010","$15,587","-","231785","00267811"
"Cayce/Reilly School of Massage","215 67th Street, Virginia Beach, Virginia 23451","www.edgarcayce.org/massageschool/home.aspx","< 2-year, Private not-for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","47","47","62%","NA","2013-14","$14,491","Massage Therapy/Therapeutic Massage","430306","04137300"
