"Name","Address","Website","Type","Awards offered","Campus setting","Campus housing","Student population","Undergraduate students","Graduation Rate","Transfer-Out Rate","Cohort Year *","Net Price **","Largest Program","IPEDS ID","OPE ID"
"Abilene Christian University","Abilene, Texas 79699","www.acu.edu","4-year, Private not-for-profit","Less than one year certificate|Associate's degree|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - research/scholarship|Doctor's degree - other","City: Midsize","Yes","4910","3758","62%","NA","Fall 2010","$26,916","-","222178","00353700"
"Academy of Hair Design - Austin","2015 East Riverside Drive, Austin, Texas 78741-1338","","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","","","NA","NA","2013-14","NA","Barbering/Barber","45133401","04037501"
"Academy of Hair Design-Beaumont","3141 College, Suite A-10, Beaumont, Texas 77701-4650","academyhairdesign.net","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","60","60","70%","NA","2013-14","$5,700","Cosmetology/Cosmetologist, General","434283","03277300"
"Academy of Hair Design-Jasper","348 Spring Hill St, Jasper, Texas 75951","lufkinhairdesign.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Remote","No","38","38","90%","NA","2013-14","$7,087","Cosmetology/Cosmetologist, General","447449","03276301"
"Academy of Hair Design-Lufkin","512 S Chestnut, Lufkin, Texas 75904","lufkinhairdesign.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Remote","No","82","82","82%","NA","2013-14","$6,896","Cosmetology/Cosmetologist, General","434274","03276300"
"Advanced Barber College and Hair Design","2818 S International, Weslaco, Texas 78596","advancedbarbercollege.org/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Suburb: Large","No","223","223","58%","NA","2013-14","$13,094","Barbering/Barber","437608","03412300"
"Advanced Beauty College","3959 N. Beltline Rd., Irving, Texas 75038","www.advancedbeautycollege.net","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Midsize","No","37","37","NA","NA","2013-14","$6,172","Cosmetology/Cosmetologist, General","458052","04155800"
"Alamo City Barber College","8910 Bandera Road Suite 209, San Antonio, Texas 78250-3227","www.alamocitybarbercollege.com","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","178","178","NA","NA","2013-14","$12,447","Barbering/Barber","482981","04231900"
"Altierus Career College-Arlington","300 Six Flags Drive, Arlington, Texas 76011-6630","https://www.altierus.org/campus/mid-cities","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","City: Large","No","290","290","55%","NA","Fall 2013","$17,663","-","443854","02250603"
"Altierus Career College-Austin","9100 US Hwy 290 East, Bldg 1-Ste 100, Austin, Texas 78724-2479","https://www.altierus.org/campus/austin","< 2-year, Private not-for-profit","One but less than two years certificate","City: Large","No","225","225","72%","NA","2013-14","$22,609","Medical/Clinical Assistant","442727","00982802"
"Altierus Career College-Bissonnet","9700 Bissonnet St-Ste 1400, Houston, Texas 77036-8001","https://www.altierus.org/campus/houston-bissonnet","< 2-year, Private not-for-profit","One but less than two years certificate","City: Large","No","486","486","59%","NA","2013-14","$16,213","Medical/Clinical Assistant","445461","00982812"
"Altierus Career College-Fort Worth South","La Gran Plaza 4200 S FWY Suite 1940, Ft Worth, Texas 76115-1407","https://www.altierus.org/campus/fort-worth-south","2-year, Private not-for-profit","One but less than two years certificate|Associate's degree","City: Large","No","255","255","55%","NA","Fall 2013","$24,059","-","460358","00450303"
"Altierus Career College-Houston Hobby","7151 Office City Dr, Houston, Texas 77087-2737","https://www.altierus.org/campus/houston-hobby","< 2-year, Private not-for-profit","One but less than two years certificate","City: Large","No","373","373","57%","NA","2013-14","$16,343","Medical/Clinical Assistant","441016","02261303"
"Altierus Career College-San Antonio","6550 First Park Ten, San Antonio, Texas 78213-4302","https://www.altierus.org/campus/san-antonio","< 2-year, Private not-for-profit","One but less than two years certificate","City: Large","No","195","195","60%","NA","2013-14","$14,023","Medical/Clinical Assistant","227003","02261300"
"Alvin Community College","3110 Mustang Rd, Alvin, Texas 77511-4898","www.alvincollege.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree|Two but less than 4 years certificate","Suburb: Large","No","5677","5677","23%","27%","Fall 2013","$7,166","-","222567","00353900"
"Amarillo College","2011 S. Washington, Amarillo, Texas 79109","www.actx.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","City: Midsize","No","10195","10195","23%","5%","Fall 2013","$6,655","-","222576","00354000"
"Amberton University","1700 Eastgate Dr, Garland, Texas 75041-5595","www.amberton.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","Suburb: Large","No","1327","215","NA","NA","Fall 2010","NA","-","222628","02259400"
"American College of Acupuncture and Oriental Med","9100 Park  West Drive, Houston, Texas 77063-4104","www.acaom.edu","4-year, Private for-profit","Postbaccalaureate certificate|Master's degree|Doctor's degree - professional practice","City: Large","No","134","","NA","NA","Fall 2010","NA","-","429085","03153300"
"American InterContinental University-Houston","9999 Richmond Avenue, Houston, Texas 77042","www.aiuniv.edu/online-campus/campus-locations/houston","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree","City: Large","No","434","335","28%","NA","Fall 2010","$19,962","-","445133","02113610"
"Ammi Barber Academy","320 West Water Street Suite A, Kerrville, Texas 78028-4312","www.ammibarber.com/","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","Town: Remote","No","8","8","63%","NA","2013-14","NA","Barbering/Barber","487250","02058601"
"Angelina College","3500 South First, Lufkin, Texas 75902-1768","www.angelina.edu","2-year, Public","Less than one year certificate|One but less than two years certificate|Associate's degree","Town: Remote","Yes","5061","5061","11%","20%","Fall 2013","$8,797","-","222822","00666100"
"Angelo State University","2601 W. Avenue N, San Angelo, Texas 76909","www.angelo.edu","4-year, Public","Less than one year certificate|Bachelor's degree|Postbaccalaureate certificate|Master's degree|Post-master's certificate|Doctor's degree - professional practice","City: Midsize","Yes","9581","8032","36%","43%","Fall 2010","$10,943","-","222831","00354100"
"AOMA Graduate School of Integrative Medicine","4701 Westgate Blvd, Austin, Texas 78745","https://aoma.edu/","4-year, Private for-profit","Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","City: Large","No","159","","NA","NA","Fall 2010","NA","-","429094","03156400"
"Argosy University-Dallas","5001 Lyndon B. Johnson Freeway, Heritage Square, Suite 230, Farmers Branch, Texas 75244","www.argosy.edu/dallas/","4-year, Private for-profit","Associate's degree|Bachelor's degree|Master's degree|Doctor's degree - research/scholarship|Doctor's degree - professional practice","Suburb: Large","No","376","232","0%","NA","Fall 2010","$19,516","-","442222","02179919"
"Arlington Baptist University","3001 W Division, Arlington, Texas 76012-3425","https://abu.edu","4-year, Private not-for-profit","Bachelor's degree|Master's degree","City: Large","Yes","199","181","20%","NA","Fall 2010","$14,803","-","222877","02081400"
"Arlington Career Institute","901 Ave K, Grand Prairie, Texas 75050-2636","www.arlingtonci.com","2-year, Private for-profit","Less than one year certificate|One but less than two years certificate|Two but less than 4 years certificate","Suburb: Large","No","239","239","81%","NA","Fall 2013","$24,019","Allied Health and Medical Assisting Services, Other","222886","02521200"
"Astrodome Career Centers","2656 S Loop W Ste 380, Houston, Texas 77054","www.astrodome.edu","< 2-year, Private for-profit","Less than one year certificate|One but less than two years certificate","City: Large","No","65","65","98%","NA","2013-14","NA","Dental Assisting/Assistant","379746","04152700"
